Year,Rank,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,First,Pts Won,Pts Max
2013,11,Stephen Curry\curryst01,24,GSW,78,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,0,3,1210
2013,12T,Kevin Garnett\garneke01,36,BOS,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,0,1,1210
2013,12T,Marc Gasol\gasolma01,28,MEM,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,0,1,1210
2013,12T,Ty Lawson\lawsoty01,25,DEN,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,0,1,1210
2013,12T,David Lee\leeda02,29,GSW,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,0,1,1210
2013,12T,Joakim Noah\noahjo01,27,CHI,66,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,0,1,1210
2012,1,LeBron James,27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,85,1074,1210
2012,2,Kevin Durant,23,OKC,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,24,889,1210
2012,3,Chris Paul,26,LAC,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,6,385,1210
2012,4,Kobe Bryant,33,LAL,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,2,352,1210
2012,5,Tony Parker,29,SAS,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,4,331,1210
2012,6,Kevin Love,23,MIN,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,0,58,1210
2012,7,Dwight Howard,26,ORL,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,0,13,1210
2012,8,Rajon Rondo,25,BOS,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,0,12,1210
2012,9,Steve Nash,37,PHO,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,0,7,1210
2012,10,Dwyane Wade,30,MIA,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,0,6,1210
2012,11,Derrick Rose,23,CHI,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,0,5,1210
2012,12T,Dirk Nowitzki,33,DAL,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,0,4,1210
2012,12T,Russell Westbrook,23,OKC,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,0,4,1210
2012,14,Tim Duncan,35,SAS,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,0,3,1210
2012,15,Joe Johnson,30,ATL,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,0,1,1210
2011,1,Derrick Rose,22,CHI,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,113,1182,1210
2011,2,Dwight Howard,25,ORL,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,3,643,1210
2011,3,LeBron James,26,MIA,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,4,522,1210
2011,4,Kobe Bryant,32,LAL,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,1,428,1210
2011,5,Kevin Durant,22,OKC,78,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,0,190,1210
2011,6,Dirk Nowitzki,32,DAL,73,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,0,113,1210
2011,7,Dwyane Wade,29,MIA,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,0,24,1210
2011,8,Manu Ginobili,33,SAS,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,0,20,1210
2011,9,Amar'e Stoudemire,28,NYK,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,0,9,1210
2011,10T,Blake Griffin,21,LAC,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,0,5,1210
2011,10T,Rajon Rondo,24,BOS,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,0,5,1210
2011,12,Tony Parker,28,SAS,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,0,3,1210
2011,13,Chris Paul,25,NOH,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,0,2,1210
2010,1,LeBron James,25,CLE,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,116,1205,1230
2010,2,Kevin Durant,21,OKC,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,4,609,1230
2010,3,Kobe Bryant,31,LAL,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,0,599,1230
2010,4,Dwight Howard,24,ORL,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,3,478,1230
2010,5,Dwyane Wade,28,MIA,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,0,119,1230
2010,6,Carmelo Anthony,25,DEN,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,0,65,1230
2010,7,Dirk Nowitzki,31,DAL,81,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,0,55,1230
2010,8,Steve Nash,35,PHO,81,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,0,49,1230
2010,9,Deron Williams,25,UTA,76,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,0,7,1230
2010,10,Amar'e Stoudemire,27,PHO,82,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,0,5,1230
2010,11,Manu Ginobili,32,SAS,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,0,3,1230
2010,12T,Chauncey Billups,33,DEN,73,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,0,1,1230
2010,12T,Chris Bosh,25,TOR,70,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,0,1,1230
2010,12T,Stephen Jackson,31,TOT,81,38.6,20.6,5,3.7,1.6,0.5,0.423,0.328,0.779,0,1,1230
2010,12T,Joe Johnson,28,ATL,76,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,0,1,1230
2009,1,LeBron James,24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,109,1172,1210
2009,2,Kobe Bryant,30,LAL,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,2,698,1210
2009,3,Dwyane Wade,27,MIA,79,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,7,680,1210
2009,4,Dwight Howard,23,ORL,79,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,1,328,1210
2009,5,Chris Paul,23,NOH,78,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,2,192,1210
2009,6,Chauncey Billups,32,TOT,79,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,0,33,1210
2009,7,Paul Pierce,31,BOS,81,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,0,21,1210
2009,8,Tony Parker,26,SAS,72,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,0,9,1210
2009,9,Brandon Roy,24,POR,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,0,7,1210
2009,10,Dirk Nowitzki,30,DAL,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,0,3,1210
2009,11,Tim Duncan,32,SAS,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0,0.692,0,2,1210
2009,12,Yao Ming,28,HOU,77,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,0,1,1210
2008,1,Kobe Bryant,29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,82,1100,1260
